epoch,lr-AdamW,step,train_loss,val_loss
0,,6,,0.6138131618499756
1,,13,,0.49570515751838684
2,,20,,0.4397427439689636
3,,27,,0.41515758633613586
4,,34,,0.42679131031036377
5,,41,,0.4275369644165039
6,,48,,0.43912357091903687
,0.00035773877573965705,49,,
7,,49,0.14552955329418182,
7,,55,,0.4389999806880951
